NO.;JUDUL BUKU;PENGARANG;PENERBIT;TEMPAT TERBIT;TAHUN;ISBN;JILID;EDISI;CET.;JUMLAH HAL.;RAK BUKU;JUMLAH BUKU;TINGGI BUKU             (cm);NOMOR PANGGIL;INISIAL;PEROLEHAN;HARGA;KET;;;No. Induk;;;;;
118;Bunga Rampai Hukum Pidana Umum Dan Khusus;Dr. Lilik Mulyadi, S.H., M.H.;PT. Alumni;Bandung;2012;979-41-4133-X;;;;;5B;;;340.02;MUL;;;ada;;;;;;;;
119;BUNGA RAMPAI KARANGAN TERSEBAR 1;Bismar Siregar;CV. RAJAWALI;Jakarta;1989;;;;;;6C;;;340.02;SIR;;;ada;;;;;;;;
120;BUNGA RAMPAI KARANGAN TERSEBAR 2;Bismar Siregar;CV. RAJAWALI;Jakarta;1989;;;;;;6C;;;340.02;SIR;;;ada;;;;;;;;
121;BUNGA RAMPAI PERUNDANGAN LINGKUNGAN HIDUP;--;PUSTAKA WIDYATAMA;Yogyakarta;2005;;;;1.-;;1G;;;;;;;ada;;;;;;;;
122;BUNGA RAMPAI PERUNDANGAN LINGKUNGAN HIDUP;Media Pressindo;PUSTAKA WIDYATAMA;Yogyakarta;2006;979-6610-36-1;;;2.-;199;1G;;21;348;PRE;B;;ada;y;;;;;;;
123;BUNG KARNO MENGGUGAT! // DARI MARHAEN, CIA, PEMBANTAIAN MASSAL '65 HINGGA G30S;Dr. Baskara T. Wardaya SJ.;GALANG PRESS;Yogyakarta;2006;;;;;;7C;;;;;;;ada;;;;;;;;
*;HURUF C;;;;;;;;;;;;;;;;;ada;;;;;;;;
124;CAKE GULUNG ISTIMEWA // SERI RESEP AHLI BAKERY;Koko Hidayat;PT. Gramedia Pustaka Utama;Jakarta;2005;;;;;;10D;;;;;;;ada;;;;;;;;
125;CARA MUDAH MEMBUAT GUGATAN PERDATA;Sudaryat, S.H., M.H.;PUSTAKA YUSTISIA;Yogyakarta;2010;978-979-341-051-7;;;1.-;x, 118;3D;;23;342;SUD;;;ada;;;;;;;;
126;CARA MUDAH MEMBUAT SURAT PERJANJIAN/KONTRAK DAN SURAT PENTING LAINNYA;"Yunirman Rijan, S.H., M.Kn. ; Ira Kosesoemawati, S.H.";RAIH ASA SUKSES;Jakarta;2009;978-979-013-078-4;;;2.-;iv, 420;3F;2;20;346.02;RIJ;S;;ada;;;;;;;;
;Cara Sehat Alami Mengatasi Hipertensi Dengan Ramuan Herbal Dan Terapi Jus;dr. Abednego Bangun, S.H., M.H.A.;Indonesia Publishing House;Bandung;2016;978-979-504-264-8;;;;;10E;;20,5;641.1;BAN;S;;ada;;;;;;;;
;Central Authority Dalam Sistem Ketatanegaraan Di Indonesia;Sri Hastuti, S.H., Hendi Suhendi, S.H., J.A. Alwahdy, S.H., dkk.;Puslitbang Kejagung;Jakarta;2018;;;;;;6B;;;609;HAS;S;;ada;;;;;;;;
127;CERDIK MENGELOLA GAJI // RAHASIA KARYAWAN KAYA RAYA;Sri Handayani;MEDIA PRESSINDO;Yogyakarta;2010;;;;;;10B;;;;;;;ada;;;;;;;;
;Cetak Biru Pembaruan Komisi Yudisial 2010-2025;--;Komisi Yudisial R.I.;Jakarta;2010;;;;;;5E;;;347.1;YUD;S;;ada;;;;;;;;
128;CINA SEMILYAR WAJAH;--;PUSTAKA AZET;Jakarta;1985;;;;;;10E;;;;;;;ada;;;;;;;;
129;COMMUNICATIVE GRAMMAR FOR EASY CONVERSATION;Drs. PARDIYONO;ANDI;Yogyakarta;2004;979-731-433-2;;2.,;;368;1D;;23;425;PAR;B;;ada;y;;;;;;;
130;CONTOH AKTA NOTARIS DAN AKTA DI BAWAH TANGAN // MENGENAI AKTA-AKTA UMUM, PERBANKAN & PERUSAHAAN MULTI FINANCE;HERLINA SUYATI BACHTIAR, S.H., MBA.;CV. MANDAR MAJU;Bandung;2002;;1;;;;7E;;;;;;;ada;;;;;;;;
131;CONTOH AKTA NOTARIS DAN AKTA DI BAWAH TANGAN (BAGIAN 1) // MENGENAI AKTA-AKTA NOTARIS UNTUK PERBANKAN & PERUSAHAAN MULTI FINANCE;HERLINA SUYATI BACHTIAR, S.H., MBA.;CV. MANDAR MAJU;Bandung;2003;;2;;;;7E;;;;;;;ada;;;;;;;;
132;CONTOH AKTA NOTARIS DAN AKTA DI BAWAH TANGAN (BAGIAN 2) // MENGENAI AKTA-AKTA NOTARIS UNTUK PERBANKAN & PERUSAHAAN MULTI FINANCE;HERLINA SUYATI BACHTIAR, S.H., MBA.;CV. MANDAR MAJU;Bandung;2003;;2;;;;7E;;;;;;;ada;;;;;;;;
133;CONTOH AKTA NOTARIS DAN AKTA DI BAWAH TANGAN // MENGENAI CONTOH-CONTOH AKTA NOTARIS UNTUK PT, CV & YAYASAN;HERLINA SUYATI BACHTIAR, S.H., MBA.;CV. MANDAR MAJU;Bandung;2003;;3;;;;7E;;;;;;;ada;;;;;;;;
134;CONTOH-CONTOH KONTRAK, REKES & SURAT RESMI SEHARI-HARI;Prof. Mr. Dr. SUDARGO GAUTAMA;PT. Citra Aditya Bakti;Bandung;1994;979-414-531-9;1;;7.-;iv, 436;3D;;21;346.02;GAU;S;;ada;;;;;;;;
135;CONTOH-CONTOH KONTRAK, REKES & SURAT RESMI SEHARI-HARI;Prof. Mr. Dr. SUDARGO GAUTAMA;PT. Citra Aditya Bakti;Bandung;1994;979-414-532-7;2;;7.-;xii, 448;3D;;21;346.02;GAU;S;;ada;;;;;;;;
136;CONTOH-CONTOH KONTRAK, REKES & SURAT RESMI SEHARI-HARI;Prof. Mr. Dr. SUDARGO GAUTAMA;PT. Citra Aditya Bakti;Bandung;1991;979-414-598-X;8;;1.-;viii, 248;3D;;21;346.7;GAU;;;ada;;;;;;;;
137;CYBER LAW DAN HAKI // DALAM SISTEM HUKUM INDONESIA;Prof. Dr. H. AHMAD M. RAMLI, S.H., M.H.;PT. REFIKA ADITAMA;Bandung;2006;979-3304-19-7;;;2.-;248;1D;;24;340.5;RAM;B;;ada;y;;;;;;;
138;CYBER LAW DAN HAKI // DALAM SISTEM HUKUM INDONESIA;Prof. Dr. H. AHMAD M. RAMLI, S.H., M.H.;PT. REFIKA ADITAMA;Bandung;2010;979-3304-19-7;;;3.-;248;1D;;24;340.5;RAM;S;;ada;y;;;;;;;
139;CYBERSPACE (PROBLEMATIKA & ANTISIPASI PENGATURANNYA);NINIEK SUPARMI, S.H., M.H.;Sinar Grafika;Jakarta;2009;978-979-007-279-4;;1.,;1.-;250;1D;;23;340.5;SUP;B;;ada;y;;;;;;;
140;CYBERSPACE, CYBERCRIMES, CYBERLAW (TINJAUAN ASPEK HUKUM PIDANA);JOSUA SITOMPUL, S.H.,IMM;PT. TATA NUSA;Jakarta;2012;978-979-3999-81-4;;;1.-;417;1D;;21;345;SIT;S;;ada;y;;;;;;;
*;HURUF D;;;;;;;;;;;;;;;;;ada;;;;;;;;
141;12 LANGKAH MEMBENTUK MANUSIA CERDAS// DALAM OTAK YANG CERDAS TERDAPAT KALBU YANG SEHAT;RAJENDRA KARTAWIRIA;PENERBIT HIKMAH;Jakarta;2004;;;;;;10B;;;;;;;ada;;;;;;;;
142;25 Etika Profesi;As'ad Sungguh;Sinar Grafika;Jakarta;2004;;;;;;5D;;;174;SUN;;;ada;;;;;;;;
;Dakwah Ketum PITI Dr. Ipong Hembing Putra;Dr. Ipong Hembing Putra;Persaudaraan Islam Tionghoa Indonesia;Jakarta;2018;;;;;;7A;1;;297.06;HEM;S;;ada;;;;;;;;
143;DALAM MIHRAB CINTA (NOVELET PEMBANGUNAN JIWA);Habiburrahman El Shirazy;Penerbit Republika;Jakarta;2007;;;;;;10C;;;;;;;ada;;;;;;;;
144;DAPUR // SERI MENATA RUMAH;IMELDA AKMAL;PT. Gramedia Pustaka Utama;Jakarta;2004;;;;;;10A;;;;;;;ada;;;;;;;;
145;DARI HUKUM KOLONIAL KE HUKUM NASIONAL // DINAMIKA SOSIAL-POLITIK DALAM PERKEMBANGAN HUKUM DI INDONESIA;SOETANDYO WIGNJOSOEBROTO;PT. Rajagrafindo Persada;Jakarta;1994;;;;;;7G;;;;;;;ada;;;;;;;;
146;DARI LEMBARAN KEPUSTAKAAN HUKUM PIDANA;Prof. Mr. ROESLAN SALEH;Sinar Grafika;Jakarta;1988;;;;1.-;170;2C;;21;345;SAL;S;;ada;y;;;;;;;
147;DARI TIADA PIDANA TANPA KESALAHAN MENUJU KEPADA TIADA PERTANGGUNGJAWABAN PIDANA TANPA KESALAHAN;Dr. CHAIRUL HUDA, S.H., M.H.;Kencana;Jakarta;2008;979-3925-31-0;;1.,;3.-;x, 212;2C;;23;345;HUD;;;ada;y;;;;;;;
148;DARI WASIAT SAYYIDIL MURSALIN;BEN HARSYA;KANWIL DEPAG KALTENG;Palangka Raya;1989;;;;;;7A;4;;;;;;ada;;;;;;;;
149;DASAR-DASAR HUKUM KEHUTANAN;SALIM, H.S., S.H., M.S.;Sinar Grafika;Jakarta;2008;;;;;;6A;;;634.09;;;;ada;;;;;;;;
;Dasar-dasar Hukum Perdata Internasional / Buku Kesatu;Dr. Bayu Seto Hardjowahono, S.H., LL.M.;PT. Citra Aditya Bakti;Bandung;2018;978-979-491-038-2;;;;;1F;;;340.909 598;HAR;s;;ada;;;;;;;;
150;DASAR-DASAR HUKUM PERUMAHAN;Dr. ANDI HAMZAH, S.H. , I WAYAN SUANDRA, S.H. , B.A. MANALU, S.H.;PT. Rineka Cipta;Jakarta;2000;979-518-367-2;;;3.-;viii, 325;3E;;20,5;346.43;AND;B;;ada;;;;;;;;
151;DASAR-DASAR HUKUM PERUMAHAN;Dr. ANDI HAMZAH, S.H. , I WAYAN SUANDRA, S.H. , B.A. MANALU, S.H.;PT. Rineka Cipta;Jakarta;2006;979-518-367-2;;;4.-;viii, 325;3E;;20,5;346.43;AND;S;;ada;;;;;;;;
152;DASAR-DASAR HUKUM PIDANA;MAHRUS ALI,SH.MH;Sinar Grafika;Jakarta;2012;978-979-007-383-8;;1.,;2.-;296;2D;;23;345.001;ALI;;;ada;y;;;;;;;
153;DASAR-DASAR HUKUM PIDANA INDONESIA;Drs. P.A.F. LAMINTANG, S.H.;PT. Citra Aditya Bakti;Bandung;1997;979-414-772-9;;;3.-;xvi, 752;2C;;21;345;LAM;B;157.000;ada;y;;;;;;;
154;DASAR-DASAR ILMU HUKUM;Prof. CHAINUR ARRASJID, S.H.;Sinar Grafika;Jakarta;2001;;;;;;6A;;;;;;;ada;;;;;;;;
155;DASAR-DASAR ILMU KEUANGAN NEGARA;Drs. SOETRISNO, PH.;BPFE-GADJAH MADA;Yogyakarta;1981;;;;;;7H;;;;;;;ada;;;;;;;;
156;DASAR-DASAR INTEGRASI EKONOMI & HARMONISASI HUKUM MASYARAKAT EROPA;M. BUDIARTO, S.H.;CV. AKADEMIKA PRESSINDO;Jakarta;1991;;;;;;7G;;;;;;;ada;;;;;;;;
157;DASAR-DASAR MANAJER PROFESIONIL;Penyusun : Chan Mu, Lu Chang Sza dan Allen;ERLANGGA;Jakarta;1976;;;;;;7F;;;;;;;ada;;;;;;;;
158;DASAR-DASAR PEMBELANJAAN PERUSAHAAN;Drs. BAMBANG RIYANTO;YAYASAN BADAN PENERBIT GADJAH MADA;Yogyakarta;1980;;;;;;6E;;;;;;;ada;;;;;;;;
159;DASAR-DASAR POLITIK HUKUM;IMAM SYAUKANI, A. AHSIN THOHARI;PT. Rajagrafindo Persada;Jakarta;2004;979-421-999-1;;;2.-;144;1B;;20,5;340;SYA;;;ada;y;;;;;;;
160;DASAR HUKUM MENGADILI KEBIJAKAN PUBLIK;Dr. O.C. KALIGIS, S.H., M.H.;PT. ALUMNI;Bandung;2012;979-41-4031-7;;;2.-;xii, 342;2B;;20,5;343.009;KAL;;;ada;;;;;;;;
;Deferred Prosecution Agreement Dalam Kejahatan Bisnis;Dr. Asep N. Mulyana;PT. Grasindo;Jakarta;2019;978-602-051-962-3;;;;;3D;;;345.026.8;MUL;S;;ada;;;;;;;;
161;DEKLARASI UNIVERSAL TENTANG HAK-HAK ASASI MANUSIA (UNIVERSAL DECLARATION OF HUMAN RIGHTS);dihimpun oleh : HADI SETIA TUNGGAL, S.H.;HARVARINDO;Jakarta;2000;;;;;;7C;;;;;;;ada;;;;;;;;
162;DELIK AGAMA DALAM HUKUM PIDANA DI INDONESIA;Drs. JUHAYA S. PRAJA - Drs. AHMAD SYIHABUDDIN;ANGKASA;Bandung;1993;979-547-264-X;;;10.-;201;1E;;21;297.44;PRA;S;;ada;y;;;;;;;
163;DELIK-DELIK KHUSUS KEJAHATAN JABATAN & KEJAHATAN JABATAN TERTENTU SEBAGAI TINDAK PIDANA KORUPSI;Drs. P.A.F. LAMINTANG, S.H. & THEO LAMINTANG, S.H.;Sinar Grafika;Jakarta;2011;978-979-007-302-9;;2.,;2.-;xii, 446;2B;;23;345.01;LAM;;;ada;y;;;;;;;
164;DELIK-DELIK KHUSUS KEJAHATAN MELANGGAR NORMA KESUSILAAN & NORMA KEPATUTAN;Drs. P.A.F. LAMINTANG, S.H., THEO LAMINTANG, S.H.;Sinar Grafika;Jakarta;2009;978-979-007-305-0;;2.,;2.-;xiv, 406;2C;;23;345.02;LAM;;;ada;y;;;;;;;
165;DELIK-DELIK KHUSUS KEJAHATAN MELANGGAR NORMA KESUSILAAN & NORMA KEPATUTAN;Drs. P.A.F. LAMINTANG, S.H., THEO LAMINTANG, S.H.;Sinar Grafika;Jakarta;2011;978-979-007-305-0;;2.,;2.-;xiv, 406;2C;;23;345.02;LAM;;;ada;y;;;;;;;
166;DELIK-DELIK KHUSUS KEJAHATAN MEMBAHAYAKAN KEPERCAYAAN UMUM TERHADAP SURAT, ALAT PEMBAYARAN, ALAT BUKTI DAN PERADILAN;Drs. P.A.F. LAMINTANG, S.H. & THEO LAMINTANG, S.H.;Sinar Grafika;Jakarta;2009;978-979-007-295-4;;2.,;1.-;xi, 336;2B;;23;345.06;LAM;S;;ada;y;;;;;;;
167;DELIK-DELIK KHUSUS KEJAHATAN MEMBAHAYAKAN KEPERCAYAAN UMUM TERHADAP SURAT, ALAT PEMBAYARAN, ALAT BUKTI DAN PERADILAN;Drs. P.A.F. LAMINTANG, S.H. & THEO LAMINTANG, S.H.;Sinar Grafika;Jakarta;2013;978-979-007-295-4;;2.,;2.-;xii, 336;2E;;23;345.02;LAM;;;ada;y;;;;;;;
168;DELIK-DELIK KHUSUS KEJAHATAN TERHADAP HARTA KEKAYAAN;Drs. P.A.F. LAMINTANG, S.H.;SINAR BARU;Bandung;1989;;;;1.-;xii, 375;2E;;21;346.44;LAM;B;7.250;ada;y;;;;;;;
169;DELIK-DELIK KHUSUS KEJAHATAN TERHADAP HARTA KEKAYAAN;Drs. P.A.F. LAMINTANG, S.H.;SINAR BARU;Bandung;2009;;;2.,;1.-;xii, 408;2E;;23;345;LAM;B;;ada;y;;;;;;;
170;DELIK-DELIK KHUSUS KEJAHATAN TERHADAP KEPENTINGAN HUKUM NEGARA;Drs. P.A.F. LAMINTANG, S.H. & THEO LAMINTANG, S.H.;Sinar Grafika;Jakarta;2010;978-979-007-300-5;;2.,;1.-;718;2E;2;23;345.02;LAM;S;;ada;y;;;;;;;
171;DELIK-DELIK KHUSUS KEJAHATAN YANG DITUJUKAN TERHADAP HAK MILIK DAN LAIN-LAIN HAK YANG TIMBUL DARI HAK MILIK;Drs. P.A.F. LAMINTANG, S.H. & C. DJISMAN SAMOSIR, S.H.;TARSITO;Bandung;1983;;;1.,;;386;7B;;21,5;345;LAM;;;ada;y;;;;;;;
172;DELIK-DELIK KHUSUS KEJAHATAN YANG DITUJUKAN TERHADAP HAK MILIK DAN LAIN-LAIN HAK YANG TIMBUL DARI HAK MILIK;Drs. P.A.F. LAMINTANG, S.H. & C. DJISMAN SAMOSIR, S.H.;NUANSA AULIA;Bandung;2010;;;;1.-;vi + 250;7B;;24,5;364;LAM;;;ada;y;;;;;;;
173;Delik Pers | Suatu Pengantar;R. Soebjakto, S.H.;IND-HILL-Co;Jakarta;1990;;;;;;5D;;;346.254;SOE;B;;ada;;;;;;;;
174;DELIK-DELIK TERTENTU (SPECIALE DELICTEN) DI DALAM KUHP;Prof. Dr. jur. ANDI HAMZAH;Sinar Grafika;Jakarta;2010;;;;;;4C;;;;;;;ada;;;;;;;;
175;DEMOKRASI RELIGIUS // PEMIKIRAN POLITIK NURCHOLISH MADJID DAN M. AMIEN RAIS;IDRIS THAHA;PENERBIT TERAJU;Jakarta;2005;;;;;;10B;;;;;;;ada;;;;;;;;
176;DEMOKRASI SELAYANG PANDANG;Mr. S.M. AMIN;PRADNYA PARAMITA;Jakarta;1981;;;;2.-;101;1B;;20,5;342;AMI;;;ada;;n;;;;;;
177;DEMOKRASI TRANSISI KORUPSI : ORKESTRA PEMBERANTASAN KORUPSI SISTEMIK;FAHRI HAMZAH;YAYASAN FAHAM INDONESIA;Jakarta;2012;978-979-17012-6-6;;;1.-;xxiii + 274;2B;;21;345;HAM;S;;ada;y;;;;;;;
178;DEPONEERING (TEORI DAN PRAKTIK);Prof. Dr. O.C. KALIGIS, S.H., M.H.;PT. ALUMNI;Bandung;2011;979-41-4127-5;;;1.-;xiv + 482;2D;;20,5;345;KAL;S;;ada;y;;;;;;;
179;DESAIN BORDIR PADA GARIS LEHER BUSANA;HERY SUHERSONO;PT. Gramedia Pustaka Utama;Jakarta;2005;;;;;;10C;2;;;;;;ada;;;;;;;;
180;Desain Fungsi Kejaksaan Pada Restorative Justice;Dr. Bambang Waluyo, S.H., M.H.;PT. Rajagrafindo Persada;Depok;2017;978-979-769-954-3;;;;;5B;;;348.05 / 340.1;WAL;S;;ada;;;;;;;;
181;DIATAS SAJADAH CINTA // KISAH-KISAH TELADAN ISLAMI;Habiburrahman El Shirazy;Penerbit Republika;Jakarta;2008;;;;;;10C;2;;820;SHI;;;ada;;;;;;;;
182;DIBAWAH NAUNGAN CINTA;IBNU HAZM EL ANDALUSY;Penerbit Republika;Jakarta;2007;;;;;;10C;2;;;;;;ada;;;;;;;;
183;DIMENSI-DIMENSI HAM // MENGURAI HAK EKONOMI, SOSIAL DAN BUDAYA;MAJDA EL MUHTAJ;RAJAWALI PERS;Jakarta;2009;;;;;;7C;;;;;;;ada;;;;;;;;
184;DIMENSI HUKUM SURAT BERHARGA//WARKAT PERBANKAN DAN PASAR UANG;RACHMADI USMAN, S.H.;DJAMBATAN;Jakarta;2001;979-428-394-0;;;;x, 198;3F;;21;332.76;USM;;;ada;;;;;;;;
185;Dinamika Baru Jejaring Teror Di Indonesia;H. Ansyaad Mbai;Squad Publishing;Jakarta;2014;;;;;;6g;2;;364.131;mba;s;;ada;;;koleksi baru;;;;;
;Dinamika Orde Baru Dalam PJP II (Buku II);Mayjen (Purn) TNI-AD Ishak Odang;Yayasan Bina Taruna;Jakarta;1997;;;;;;4B;;;324.602 6;SIN;s;;ada;;;;;;;;
186;DISIPLIN HUKUM DAN DISIPLIN SOSIAL (BAHAN BACAAN AWAL);"penyunting : Prof. Dr. SOERJONO SOEKANTO, S.H., M.A. ; R. OTJE SALMAN, S.H.";RAJAWALI PERS;Jakarta;1988;;;;;;7H;;;;;;;ada;;;;;;;;
187;Disiplin Nasional | Untuk Mendukung Pembangunan Nasional;LEMHANNAS;PT. Aries Lima;Jakarta;1989;;;;;;5D;2;;;;;;ada;;;;;;;;
188;Disparitas Kesejahteraan Antar Aparat Penegak Hukum;"Drs. Nandan Iskandar; Alboin Pangaribuan, S.H., M.H. ; dkk.";Miswar;Jakarta;2016;978-602-6532-03-9;;;;121;6A;2;21;580.002;ISK;S;;ada;;;;;;;;
189;DISPARITAS PEMIDANAAN PEMBALAKAN LIAR DAN PENGARUH TERHADAP PENEGAKAN HUKUM DI INDONESIA;Dr. ZAROF RICAR, S.H., S.Sos., M.Hum.;PT. ALUMNI;Bandung;2012;979-41-4154-2;;;1.-;302;1G;;20,5;343.09;RIC;S;;ada;y;;;;;;;
;Diversi  : Pengalihan proses hukum demi kepentingan terbaik anak;Dr.Rudi Margono,SH.M.Hum;Yayasan Putra Adi Dharma;yogyakarta;2024;978-634-7004-54-3;;;1,-;;6E;3;;345.08;MAR;;;ada;;;;;;;;
190;DOKTRIN SUBROGASI, NOVASI DAN CESSIE;"SUHARNOKO, S.H., M.L.I. ; ENDAH HARTATI, S.H., M.H.";Kencana;Jakarta;2008;979-3925-06-X;;1.,;3,-;x, 234;3A;;21;346;SUH;S;;ada;;;;;;;;
191;DOKUMENTASI KLIPING TENTANG : INFORMASI HUKUM YANG AKTUAL;--;PUSAT INSTAKRIM - KEJAGUNG R.I.;Jakarta;1994;;;5.,;;;5G;;;;;;;ada;;;;;;;;
192;DUA PEMIKIRAN TENTANG PERTAHANAN KEAMANAN DAN STRATEGI NASIONAL;DAOED JOESOEF;YAYASAN PROKLAMASI - CSIS;Jakarta;1973;;;;;;7G;;;;;;;ada;;;;;;;;
*;HURUF E;;;;;;;;;;;;;;;;;ada;;;;;;;;
193;4 UNDANG-UNDANG TENTANG HUKUM R.I.;--;ASA MANDIRI;Jakarta;2007;;;;;;4D;;;;;;;ada;;;;;;;;
194;48 Hukum Kekuasaan (The 48 Laws Of Power);Robert Greene;Karisma Publishing Group;Jakarta;2007;;;;;;5D;;;340;GRE;B;;ada;;;;;;;;
195;EDENSOR;ANDREA HIRATA;PT. BENTANG PUSTAKA;Yogyakarta;2007;;;;;;10C;;;;;;;ada;;;;;;;;
196;Efektifitas Kinerja Bidang Intelijen Dikaitkan Dengan Perpres No.38/2010 Dan Perja No: PER-009/A/JA/01/2011;"Drs. Nandan Iskandar; Hendi Suhendi, S.H. ; dkk.";Miswar;Jakarta;2015;978-602-7744-84-4;;;;;6A;3;21;722.1;ISK;S;;ada;;;;;;;;
;Efektifitas Pelaksanaan Pasal 39 Huruf B Undang-undang Nomor 18 Tahun 2013 Tentang Pencegahan Dan Pemberantasan Perusakan Hutan (P3H);Suryadi Agoes, S.H., Hendi Suhendi, S.H., Jajang Aminullah Alwahdy, S.H., dkk.;Puslitbang Kejagung;Jakarta;2018;;;;;;6B;;;;AGO;S;;ada;;;;;;;;
197;Efektifitas Perencanaan, Pengelolaan Dan Penyerapan Anggaran Di Kejaksaan RI;B.D. Sri Marsita G, S.H. , Jajang Aminullah Alwahdy, S.H. , et. al.;Miswar;Jakarta;2014;;;;;;6B;;;347;ITA;s;;ada;;;;;;;;
198;EFEKTIVITAS PEMERIKSAAN TAMBAHAN DALAM MENDUKUNG KEBERHASILAN PENUNTUTAN PERKARA PIDANA;ALBOIN PANGARIBUAN, S.H., M.H., Rr. YOENIARTI SASONGKO, S.H., BARINGIN SIANTURI, S.H., M.H., dkk.;PUSLITBANG KEJAGUNG R.I.;Jakarta;2012;;;;;;6A;;;345.07;;;;ada;;;;;;;;
200;EFEKTIVITAS PIDANA MATI DALAM TINDAK PIDANA NARKOTIKA DAN PSIKOTROPIKA;disusun oleh : SURYADI AGOES, S.H. , B.D. SRI MARSITA G., S.H. , J.A. ALWAHDY, S.H.;PUSLITBANG KEJAGUNG R.I.;Jakarta;2008;;;;;;7H;;;;;;;ada;;;;;;;;
199;EFEKTIVITAS RENCANA TUNTUTAN PERKARA TP PIDANA UMUM DAN TP  KHUSUS DALAM PENEGAKAN HUKUM;NINIEK SUPARNI, S.H., M.H.;MISWAR;Jakarta;2012;978-602-7744-11-0;;;1.-;174;2D;;21;345;SUP;;;ada;y;;;;;;;
;Efektivitas Tindak Hukum Penenggelaman Kapal Dalam Tindak Pidana Perikanan;Hening Hadi Condrowati, S.H., Sri Hastuti, S.H., Lasmaida Limbong, S.H., dkk.;Puslitbang Kejagung;Jakarta;2018;;;;;;6B;;;343.076;CON;S;;ada;;;;;;;;
201;EFEKTIVITAS UNDANG-UNDANG NOMOR 1/PNPS/1965 TENTANG PENCEGAHAN PENYALAHGUNAAN DAN ATAU PENODAAN AGAMA DALAM PENANGANAN PENODAAN AGAMA;Drs. NANDAN ISKANDAR, H.H. CONDROWATI, S.H., SRI HUMANA L. S.Sos., dkk.;PUSLITBANG KEJAGUNG R.I.;Jakarta;2012;;;;;;6A;;;345.02;;;;ada;;;;;;;;
;Efektivitas keadilan Restoratif dalam mengembalikan korban dan pelaku ke masyarakat;Dr.Rudi margono,SH.,M.Hum;Yayasan Putra Adi Dharma;Yogyakarta;2024;978-634-7004-60-4;;;;;6E;3;;362.8;MAR;S;;ada;;;;;;;;
;Efektivitas out of court settlement dalam mengurangi  tumpukan perkara di pengadilan;Dr.Rudi margono,SH.,M.Hum;Yayasan Putra Adi Dharma;Yogyakarta;2024;978-634-7004-54-3;;;;;2D;1;;345;MAR;s;;ada;;;;;;;;
202;Ekonomi Pancasila | Untuk Mendukung Tinggal Landas Dan Pembangunan Jangka Panjang Tahap II;LEMHANNAS;PT. Aries Lima;Jakarta;1989;;;;;;5D;;;;;;;ada;;;;;;;;
203;EKONOMI PEMBANGUNAN NEGARA BERKEMBANG (TEORI DAN KEBIJAKSANAAN);GERALD M. MEIER;BINA AKSARA;Jakarta;1985;;;;1.-;324;1B;;20,5;330;MEI;;;ada;y;;;;;;;
204;EKONOMI SUMBERDAYA DAN LINGKUNGAN // TEORI DAN KEBIJAKSANAAN PEMBANGUNAN BERKELANJUTAN;ADDINUL YAKIN;AKADEMIKA PRESSINDO;Jakarta;2004;;;;;;6E;;;;;;;ada;;;;;;;;
205;EKSISTENSI HUKUMAN MATI;AHKIAR SALMI, S.H.;AKSARA PERSADA PRESS;Jakarta;1985;;;;1.-;299;2A;;20;345.5;SAL;;;ada;y;;;;;;;
206;Eksistensi Jamwas Dikaitkan Dengan Komisi Kejaksaan Dan Komisi Aparatur Sipil Negara;"Sri Hastuti, S.H. ; Hening Hadi Condrowati, S.H. , dkk.";Miswar;Jakarta;2016;978-602-6532-04-6;;;;156;6A;3;21;722.1;Has;s;;ada;;;;;;;;
207;Eksistensi Kejaksaan Dalam Konstitusi di Berbagai Negara;Prof. EQ. RM. Surachman, Dr. Jur (Can) Jan S. Maringka;Sinar Grafika;Jakarta;2015;978-979-007-625-9;;;1;;6B;;;347.013;MAN;s;;ada;;;;;;;;
208;EKSISTENSI LEMBAGA 'PENEGAK HUKUM' AD-HOC DITINJAU DARI SISTEM PERADILAN PIDANA (CRIMINAL JUSTICE SYSTEM);HENDI SUHENDI, S.H., TUMBUR SINAGA, S.H., KHUNAIFI ALHUMAMI, S.H., M.H., dkk.;PUSLITBANG KEJAGUNG R.I.;Jakarta;2011;;;;;;6A;;;345.01;;;;ada;;;;;;;;
209;ENSIKLOPEDI INDONESIA - SUPLEMEN;dr. ABDUL BARI SAIFUDDIN, MPH., dkk.;PT. ICHTIAR BARU – VAN HOEVE;Jakarta;1991;979-8276-40-X;;;;611;1A;;24,5;903;SAI;;;ada;y;;;;;;;
210;ENSIKLOPEDI INDONESIA - 1;dr. ABDUL BARI SAIFUDDIN, MPH., dkk.;PT. ICHTIAR BARU – VAN HOEVE;Jakarta;1992;979-8276-40-X;;;;606;1A;;24,5;903;SAI;;;ada;;n;;;;;;
211;ENSIKLOPEDI INDONESIA - 2;dr. ABDUL BARI SAIFUDDIN, MPH., dkk.;PT. ICHTIAR BARU – VAN HOEVE;Jakarta;1991;979-8276-40-X;;;;649-1218 ;1A;;24,5;903;SAI;;;ada;;n;;;;;;
212;ENSIKLOPEDI INDONESIA - 3;dr. ABDUL BARI SAIFUDDIN, MPH., dkk.;PT. ICHTIAR BARU – VAN HOEVE;Jakarta;1992;979-8276-40-X;;;;1253-1812 ;1A;;24,5;903;SAI;;;ada;y;;;;;;;
